seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,advantage_abs,advantage_edge,youden_j
1,simon,3,test,15000,0.9989333333333333,0.9999117422222222,1.0,0.9978666666666667,0.49893333333333334,0.9978666666666667,0.9978666666666667
1,simon,4,test,15000,0.9946,0.9991318133333335,0.9982666666666666,0.9909333333333333,0.49460000000000004,0.9892000000000001,0.9891999999999999
1,simon,5,test,15000,0.9144,0.9690716088888889,0.9637333333333333,0.8650666666666667,0.4144,0.8288,0.8288
1,simon,6,test,15000,0.6808666666666666,0.75080304,0.6282666666666666,0.7334666666666667,0.18086666666666662,0.36173333333333324,0.36173333333333346
1,simon,7,test,15000,0.5556,0.5821009777777778,0.6929333333333333,0.4182666666666667,0.05559999999999998,0.11119999999999997,0.11119999999999997
1,simon,8,test,15000,0.4992666666666667,0.5043607644444444,0.07786666666666667,0.9206666666666666,0.0007333333333333081,0.0014666666666666162,-0.0014666666666667272
1,simon,9,test,15000,0.5023333333333333,0.5056561688888889,0.17133333333333334,0.8333333333333334,0.0023333333333332984,0.004666666666666597,0.004666666666666597
1,simon,10,test,15000,0.4964,0.4983025866666666,0.6170666666666667,0.3757333333333333,0.003599999999999992,0.007199999999999984,-0.007200000000000095
2,simon,3,test,15000,0.9994666666666666,0.9999990044444445,1.0,0.9989333333333333,0.4994666666666666,0.9989333333333332,0.9989333333333335
2,simon,4,test,15000,0.9951333333333333,0.9989162577777778,0.9989333333333333,0.9913333333333333,0.4951333333333333,0.9902666666666666,0.9902666666666666
2,simon,5,test,15000,0.9107333333333333,0.9712713511111111,0.9114666666666666,0.91,0.4107333333333333,0.8214666666666666,0.8214666666666668
2,simon,6,test,15000,0.6781333333333334,0.7565054844444445,0.7253333333333334,0.6309333333333333,0.17813333333333337,0.35626666666666673,0.35626666666666673
2,simon,7,test,15000,0.5392,0.570258311111111,0.7505333333333334,0.32786666666666664,0.03920000000000001,0.07840000000000003,0.07840000000000003
2,simon,8,test,15000,0.5000666666666667,0.50410312,0.7886666666666666,0.21146666666666666,6.666666666665932e-05,0.00013333333333331865,0.00013333333333331865
2,simon,9,test,15000,0.4922666666666667,0.4918832888888889,0.5441333333333334,0.4404,0.007733333333333314,0.015466666666666629,-0.015466666666666629
2,simon,10,test,15000,0.502,0.5053651555555555,0.6916,0.3124,0.0020000000000000018,0.0040000000000000036,0.0040000000000000036
3,simon,3,test,15000,0.9988666666666667,0.9999421244444444,1.0,0.9977333333333334,0.4988666666666667,0.9977333333333334,0.9977333333333334
3,simon,4,test,15000,0.9924,0.9988957066666666,0.9982666666666666,0.9865333333333334,0.49239999999999995,0.9847999999999999,0.9847999999999999
3,simon,5,test,15000,0.9136666666666666,0.9682065066666667,0.9574666666666667,0.8698666666666667,0.4136666666666666,0.8273333333333333,0.8273333333333333
3,simon,6,test,15000,0.6768,0.7553215377777778,0.7393333333333333,0.6142666666666666,0.17679999999999996,0.3535999999999999,0.3535999999999999
3,simon,7,test,15000,0.5648666666666666,0.5907595822222222,0.6636,0.46613333333333334,0.06486666666666663,0.12973333333333326,0.12973333333333326
3,simon,8,test,15000,0.5070666666666667,0.5100006311111112,0.5973333333333334,0.4168,0.0070666666666666655,0.014133333333333331,0.014133333333333331
3,simon,9,test,15000,0.49993333333333334,0.4914247199999999,0.9690666666666666,0.0308,6.666666666665932e-05,0.00013333333333331865,-0.00013333333333331865
3,simon,10,test,15000,0.5038666666666667,0.5045099111111111,0.47146666666666665,0.5362666666666667,0.003866666666666685,0.00773333333333337,0.00773333333333337
4,simon,3,test,15000,0.9996,0.9999999288888889,1.0,0.9992,0.49960000000000004,0.9992000000000001,0.9992000000000001
4,simon,4,test,15000,0.9942,0.9988750488888889,0.9969333333333333,0.9914666666666667,0.4942,0.9884,0.9884
4,simon,5,test,15000,0.9154666666666667,0.9695552444444444,0.9753333333333334,0.8556,0.41546666666666665,0.8309333333333333,0.8309333333333333
4,simon,6,test,15000,0.6761333333333334,0.7578905333333333,0.7422666666666666,0.61,0.17613333333333336,0.35226666666666673,0.3522666666666665
4,simon,7,test,15000,0.5576,0.5814354488888889,0.3732,0.742,0.057599999999999985,0.11519999999999997,0.11519999999999997
4,simon,8,test,15000,0.4958,0.5003732088888889,0.4164,0.5752,0.0041999999999999815,0.008399999999999963,-0.008399999999999963
4,simon,9,test,15000,0.4975333333333333,0.49920873777777774,0.7096,0.28546666666666665,0.0024666666666666726,0.004933333333333345,-0.004933333333333345
