cipher,rounds,max_characteristic_prob,delta_left,delta_right
speck,3,0.12487627891700001,64,0
speck,4,0.007811260998816184,64,0
speck,5,0.00012183223779853601,64,0
speck,6,9.627183430840314e-07,64,0
speck,7,1.5212874770084916e-08,64,0
speck,8,1.210546263049365e-10,64,0
speck,9,1.930815925705121e-12,64,0
speck,10,1.5498659435635007e-14,64,0
