seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,accuracy_advantage,advantage_edge,auc_advantage,accuracy_null_p_value,youden_j
1,speck,3,test,15000,0.9472,0.9843799466666667,0.9378666666666666,0.9565333333333333,0.44720000000000004,0.8944000000000001,0.9687598933333335,0.0,0.8944000000000001
1,speck,4,test,15000,0.8449333333333333,0.9095016355555555,0.7626666666666667,0.9272,0.3449333333333333,0.6898666666666666,0.819003271111111,0.0,0.6898666666666666
1,speck,5,test,15000,0.6616,0.7271782933333333,0.6822666666666667,0.6409333333333334,0.16159999999999997,0.32319999999999993,0.45435658666666656,0.0,0.32319999999999993
1,speck,6,test,15000,0.5002666666666666,0.5024025333333334,0.2324,0.7681333333333333,0.0002666666666666373,0.0005333333333332746,0.004805066666666802,0.9544221671078786,0.0005333333333332746
1,speck,7,test,15000,0.4966,0.49496325333333335,0.5193333333333333,0.47386666666666666,-0.003400000000000014,-0.006800000000000028,-0.010073493333333294,0.4095646012815377,-0.006800000000000028
1,speck,8,test,15000,0.5008666666666667,0.5035583822222223,0.23386666666666667,0.7678666666666667,0.0008666666666666822,0.0017333333333333645,0.007116764444444534,0.8382573357112006,0.0017333333333333645
1,speck,9,test,15000,0.505,0.5051484088888889,0.7414666666666667,0.26853333333333335,0.0050000000000000044,0.010000000000000009,0.0102968177777778,0.22376285700399692,0.010000000000000009
1,speck,10,test,15000,0.5018,0.5032308977777777,0.372,0.6316,0.0018000000000000238,0.0036000000000000476,0.006461795555555483,0.6652027704589808,0.0036000000000000476
2,speck,3,test,15000,0.9482,0.98431792,0.9357333333333333,0.9606666666666667,0.44820000000000004,0.8964000000000001,0.9686358399999999,0.0,0.8963999999999999
2,speck,4,test,15000,0.8520666666666666,0.9115848444444445,0.7817333333333333,0.9224,0.35206666666666664,0.7041333333333333,0.8231696888888891,0.0,0.7041333333333333
2,speck,5,test,15000,0.6590666666666667,0.7213225688888888,0.6777333333333333,0.6404,0.1590666666666667,0.3181333333333334,0.4426451377777776,0.0,0.3181333333333334
2,speck,6,test,15000,0.5009333333333333,0.4984176977777778,0.6246666666666667,0.3772,0.0009333333333333416,0.0018666666666666831,-0.003164604444444441,0.8255184413985822,0.0018666666666666831
