cipher,rounds,split,input_delta_left,input_delta_right,n_seeds,seeds,n_samples_total,accuracy_null_p_value_fisher,accuracy_null_log10_p_value_fisher,accuracy_mean,accuracy_std,accuracy_sem,accuracy_ci95_low,accuracy_ci95_high,accuracy_min,accuracy_max,auc_roc_mean,auc_roc_std,auc_roc_sem,auc_roc_ci95_low,auc_roc_ci95_high,auc_roc_min,auc_roc_max,tpr_mean,tpr_std,tpr_sem,tpr_ci95_low,tpr_ci95_high,tpr_min,tpr_max,tnr_mean,tnr_std,tnr_sem,tnr_ci95_low,tnr_ci95_high,tnr_min,tnr_max,accuracy_advantage_mean,accuracy_advantage_std,accuracy_advantage_sem,accuracy_advantage_ci95_low,accuracy_advantage_ci95_high,accuracy_advantage_min,accuracy_advantage_max,advantage_edge_mean,advantage_edge_std,advantage_edge_sem,advantage_edge_ci95_low,advantage_edge_ci95_high,advantage_edge_min,advantage_edge_max,auc_advantage_mean,auc_advantage_std,auc_advantage_sem,auc_advantage_ci95_low,auc_advantage_ci95_high,auc_advantage_min,auc_advantage_max,youden_j_mean,youden_j_std,youden_j_sem,youden_j_ci95_low,youden_j_ci95_high,youden_j_min,youden_j_max
simon,3,test,1,0,10,1;2;3;4;5;6;7;8;9;10,150000,0.0,-44920.8504413142,0.9996533333333334,0.00020073937405577132,6.347936380927496e-05,0.9995097430123968,0.99979692365427,0.9994,1.0,0.9999781173333334,3.489518069870365e-05,1.1034825037104937e-05,0.9999531565590994,1.0,0.9999061777777778,1.0,0.9996400000000001,0.00020893616486300268,6.607141665475308e-05,0.999490546455527,0.9997894535444731,0.9993333333333333,1.0,0.9996666666666666,0.00025337231668872133,8.012336167698513e-05,0.9994854276225532,0.99984790571078,0.9993333333333333,1.0,0.4996533333333334,0.00020073937405577132,6.347936380927496e-05,0.4995097430123968,0.49979692365427,0.49939999999999996,0.5,0.9993066666666668,0.00040147874811154264,0.00012695872761854992,0.9990194860247936,0.99959384730854,0.9987999999999999,1.0,0.9999562346666668,6.97903613974073e-05,2.2069650074209874e-05,0.999906313118199,1.0,0.9998123555555556,1.0,0.9993066666666668,0.0004014787481114968,0.0001269587276185354,0.9990194860247936,0.99959384730854,0.9987999999999999,1.0
simon,4,test,1,0,10,1;2;3;4;5;6;7;8;9;10,150000,0.0,-42780.26079404919,0.9941133333333333,0.0011035520651486413,0.0003489738042452228,0.9933239545881306,0.994902712078536,0.992,0.9959333333333333,0.99888604,0.0002554386890957578,8.077680600702111e-05,0.9987033228648121,0.999068757135188,0.9985032,0.9993305866666666,0.9982399999999998,0.0007215894664036312,0.00022818662494210242,0.9977238418543808,0.9987561581456188,0.9973333333333333,0.9993333333333333,0.9899866666666666,0.001980098513573708,0.0006261621294406751,0.9885702879298718,0.9914030454034614,0.9862666666666666,0.9932,0.4941133333333333,0.0011035520651486413,0.0003489738042452228,0.4933239545881306,0.494902712078536,0.492,0.49593333333333334,0.9882266666666666,0.0022071041302972826,0.0006979476084904456,0.9866479091762612,0.989805424157072,0.984,0.9918666666666667,0.9977720800000001,0.0005108773781915156,0.00016155361201404222,0.9974066457296243,0.9981375142703758,0.9970064000000001,0.9986611733333333,0.9882266666666666,0.002207104130297275,0.0006979476084904431,0.9866479091762612,0.989805424157072,0.984,0.9918666666666667
simon,5,test,1,0,10,1;2;3;4;5;6;7;8;9;10,150000,0.0,-26550.890048254212,0.9173066666666667,0.003052010064219774,0.0009651303244691251,0.9151235418727176,0.9194897914606158,0.912,0.9232,0.969964328,0.0012838615630199172,0.0004059926739486742,0.9690459725715281,0.9708826834284718,0.9678715555555555,0.9720127377777777,0.9656399999999999,0.007941278312373148,0.0025112527000397252,0.9599595463925101,0.9713204536074898,0.9509333333333333,0.9785333333333334,0.8689733333333333,0.008844120597086098,0.0027967564988000395,0.8626470701330475,0.875299596533619,0.854,0.8873333333333333,0.4173066666666667,0.003052010064219774,0.0009651303244691251,0.41512354187271755,0.4194897914606159,0.41200000000000003,0.4232,0.8346133333333334,0.006104020128439548,0.0019302606489382502,0.8302470837454351,0.8389795829212318,0.8240000000000001,0.8464,0.9399286559999999,0.002567723126039834,0.0008119853478973483,0.938091945143056,0.9417653668569437,0.935743111111111,0.9440254755555555,0.8346133333333334,0.00610402012843961,0.0019302606489382697,0.8302470837454351,0.8389795829212318,0.8239999999999998,0.8464
simon,6,test,1,0,10,1;2;3;4;5;6;7;8;9;10,150000,0.0,-4207.97290941963,0.6780266666666667,0.0030707219563700715,0.0009710475443217618,0.6758301571214108,0.6802231762119225,0.6736,0.6838,0.7528008577777779,0.0036093171833387816,0.0011413663097334086,0.750219087185161,0.7553826283703949,0.7465409066666666,0.75671328,0.6441199999999999,0.020748697415607673,0.006561314231496953,0.6292783072083538,0.6589616927916461,0.6069333333333333,0.6704,0.7119333333333333,0.022560995512576964,0.0071344132100581185,0.6957952906521818,0.7280713760144848,0.6888,0.7502666666666666,0.1780266666666667,0.0030707219563700715,0.0009710475443217618,0.17583015712141087,0.18022317621192252,0.17359999999999998,0.18379999999999996,0.3560533333333334,0.006141443912740143,0.0019420950886435235,0.35166031424282174,0.36044635242384504,0.34719999999999995,0.3675999999999999,0.5056017155555554,0.007218634366677564,0.0022827326194668177,0.5004381743703215,0.5107652567407894,0.49308181333333323,0.5134265600000001,0.3560533333333333,0.006141443912740157,0.0019420950886435279,0.3516603142428216,0.36044635242384493,0.34719999999999995,0.3675999999999999
simon,7,test,1,0,10,1;2;3;4;5;6;7;8;9;10,150000,0.0,-488.7788380268215,0.5615866666666667,0.005180476168590445,0.0016382104056968242,0.5578810347289804,0.5652922986043529,0.5538,0.5686,0.5804407022222222,0.004650743879826774,0.001470694347434102,0.5771139916083263,0.5837674128361181,0.5721371911111112,0.5885419466666666,0.55264,0.04126195988235816,0.013048177395074509,0.5231250227323415,0.5821549772676585,0.4684,0.6369333333333334,0.5705333333333333,0.038396141781482464,0.01214192613922397,0.5430682964064087,0.5979983702602579,0.4836,0.6414666666666666,0.061586666666666665,0.005180476168590445,0.0016382104056968242,0.05788103472898045,0.06529229860435289,0.05379999999999996,0.0686,0.12317333333333333,0.01036095233718089,0.0032764208113936484,0.1157620694579609,0.13058459720870577,0.10759999999999992,0.1372,0.1608814044444445,0.009301487759653547,0.002941388694868204,0.1542279832166526,0.16753482567223638,0.14427438222222233,0.1770838933333332,0.12317333333333336,0.010360952337180873,0.003276420811393643,0.11576206945796094,0.13058459720870577,0.10760000000000014,0.1372
simon,8,test,1,0,10,1;2;3;4;5;6;7;8;9;10,150000,0.5425401514033505,-0.2655681157510347,0.5021133333333333,0.003481598894789223,0.001100978240665888,0.49962292055294705,0.5046037461137195,0.4968666666666667,0.5078,0.5032658924444445,0.0039113089149384744,0.001236864480372736,0.5004681049898414,0.5060636798990477,0.4967461777777778,0.5100292711111112,0.4844266666666668,0.17045925822920088,0.05390395042670749,0.3624959308014544,0.6063574025318791,0.27013333333333334,0.7572,0.5198,0.17272659906537663,0.05462094655413009,0.3962474188945578,0.6433525811054424,0.2516,0.7454666666666667,0.002113333333333334,0.0034815988947892234,0.0011009782406658881,-0.0003770794470529049,0.0046037461137195725,-0.0031333333333333213,0.007800000000000029,0.004226666666666668,0.006963197789578447,0.0022019564813317762,-0.0007541588941058098,0.009207492227439145,-0.006266666666666643,0.015600000000000058,0.006531784888888925,0.007822617829876949,0.002473728960745472,0.0009362099796826669,0.012127359798095183,-0.006507644444444405,0.020058542222222364,0.004226666666666668,0.006963197789578447,0.0022019564813317762,-0.0007541588941058098,0.009207492227439145,-0.006266666666666643,0.015600000000000058
simon,9,test,1,0,10,1;2;3;4;5;6;7;8;9;10,150000,0.4352713363045346,-0.36123993126815734,0.4997533333333333,0.004311002289577299,0.0013632586233265026,0.49666964232736877,0.5028370243392979,0.4918,0.5060666666666667,0.500836136888889,0.004762660620543193,0.001506085528330741,0.49742937142380483,0.5042429023539731,0.49473463999999995,0.5106600177777778,0.51932,0.22872793866496924,0.07233012506965955,0.35570925709243006,0.6829307429075699,0.18733333333333332,0.9093333333333333,0.4801866666666667,0.23117078887616754,0.07310262213466055,0.31482853539806455,0.6455447979352689,0.09626666666666667,0.8145333333333333,-0.00024666666666665616,0.0043110022895773,0.001363258623326503,-0.0033303576726312063,0.0028370243392978937,-0.008199999999999985,0.006066666666666665,-0.0004933333333333123,0.0086220045791546,0.002726517246653006,-0.006660715345262413,0.005674048678595787,-0.01639999999999997,0.01213333333333333,0.0016722737777777996,0.009525321241086387,0.003012171056661482,-0.005141257152390472,0.008485804707946071,-0.010530720000000104,0.021320035555555616,-0.0004933333333332901,0.008622004579154607,0.0027265172466530083,-0.006660715345262394,0.005674048678595814,-0.01639999999999997,0.01213333333333333
simon,10,test,1,0,10,1;2;3;4;5;6;7;8;9;10,150000,0.5027440864372252,-0.29865302912065034,0.5002066666666666,0.004196935978179593,0.001327187688495425,0.4972045681152899,0.5032087652180433,0.4928666666666667,0.5056,0.49950909955555556,0.005031441884410881,0.001591081626950802,0.49591007291539285,0.5031081261957183,0.49092111999999993,0.5084841600000001,0.3876,0.13907864725922808,0.04398052992342951,0.28811604131320245,0.48708395868679755,0.17146666666666666,0.6044,0.6128133333333333,0.13770262394731375,0.043545393145515754,0.5143136540381766,0.71131301262849,0.3878666666666667,0.8273333333333334,0.00020666666666666612,0.004196935978179592,0.0013271876884954246,-0.0027954318847099842,0.0032087652180433166,-0.007133333333333325,0.005600000000000049,0.00041333333333333223,0.008393871956359183,0.002654375376990849,-0.0055908637694199684,0.006417530436086633,-0.01426666666666665,0.011200000000000099,-0.0009818008888889506,0.010062883768821761,0.003182163253901604,-0.008179854169214379,0.006216252391436478,-0.018157760000000134,0.016968320000000148,0.00041333333333333223,0.008393871956359183,0.002654375376990849,-0.0055908637694199684,0.006417530436086633,-0.01426666666666665,0.011200000000000099
