seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,accuracy_advantage,advantage_edge,auc_advantage,accuracy_null_p_value,youden_j
5,simon,10,test,15000,0.5040666666666667,0.5053293333333333,0.5204,0.48773333333333335,0.004066666666666663,0.008133333333333326,0.010658666666666594,0.3231718804636641,0.008133333333333326
6,simon,3,test,15000,0.9996,0.999992231111111,0.9997333333333334,0.9994666666666666,0.49960000000000004,0.9992000000000001,0.999984462222222,0.0,0.9992000000000001
6,simon,4,test,15000,0.9959333333333333,0.9993305866666666,0.9986666666666667,0.9932,0.49593333333333334,0.9918666666666667,0.9986611733333333,0.0,0.9918666666666667
6,simon,5,test,15000,0.912,0.9678715555555555,0.964,0.86,0.41200000000000003,0.8240000000000001,0.935743111111111,0.0,0.8239999999999998
6,simon,6,test,15000,0.6796,0.7552563733333333,0.6704,0.6888,0.17959999999999998,0.35919999999999996,0.5105127466666666,0.0,0.35919999999999996
6,simon,7,test,15000,0.5592,0.5785256088888889,0.5473333333333333,0.5710666666666666,0.05920000000000003,0.11840000000000006,0.15705121777777786,1.0513259971122311e-47,0.11839999999999984
6,simon,8,test,15000,0.5078,0.5100292711111112,0.27013333333333334,0.7454666666666667,0.007800000000000029,0.015600000000000058,0.020058542222222364,0.05711042709646655,0.015600000000000058
6,simon,9,test,15000,0.49733333333333335,0.49763994666666667,0.7570666666666667,0.2376,-0.0026666666666666505,-0.005333333333333301,-0.004720106666666668,0.5189076111901135,-0.005333333333333301
6,simon,10,test,15000,0.4928666666666667,0.49092111999999993,0.30106666666666665,0.6846666666666666,-0.007133333333333325,-0.01426666666666665,-0.018157760000000134,0.08200710157187385,-0.01426666666666665
7,simon,3,test,15000,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0
7,simon,4,test,15000,0.9929333333333333,0.998798631111111,0.9978666666666667,0.988,0.49293333333333333,0.9858666666666667,0.997597262222222,0.0,0.9858666666666667
7,simon,5,test,15000,0.9171333333333334,0.9720127377777777,0.9653333333333334,0.8689333333333333,0.41713333333333336,0.8342666666666667,0.9440254755555555,0.0,0.8342666666666667
7,simon,6,test,15000,0.6782,0.7488369600000001,0.6673333333333333,0.6890666666666667,0.17820000000000003,0.35640000000000005,0.4976739200000002,0.0,0.35640000000000005
7,simon,7,test,15000,0.5538,0.5777635288888889,0.5330666666666667,0.5745333333333333,0.05379999999999996,0.10759999999999992,0.15552705777777787,1.1028071107415888e-39,0.10760000000000014
7,simon,8,test,15000,0.5069333333333333,0.5070077866666667,0.3838666666666667,0.63,0.006933333333333347,0.013866666666666694,0.014015573333333364,0.0909963242168013,0.013866666666666694
7,simon,9,test,15000,0.5012,0.5106600177777778,0.272,0.7304,0.0011999999999999789,0.0023999999999999577,0.021320035555555616,0.77505249053891,0.0024000000000001798
7,simon,10,test,15000,0.4994,0.4992546755555556,0.17146666666666666,0.8273333333333334,-0.0005999999999999894,-0.0011999999999999789,-0.0014906488888888347,0.8896052998225769,-0.0011999999999999789
8,simon,3,test,15000,0.9998666666666667,0.9999998933333334,0.9998666666666667,0.9998666666666667,0.4998666666666667,0.9997333333333334,0.9999997866666668,0.0,0.9997333333333334
8,simon,4,test,15000,0.9936,0.9988800444444446,0.9989333333333333,0.9882666666666666,0.49360000000000004,0.9872000000000001,0.9977600888888891,0.0,0.9872000000000001
8,simon,5,test,15000,0.9142666666666667,0.9687722044444445,0.9641333333333333,0.8644,0.41426666666666667,0.8285333333333333,0.9375444088888889,0.0,0.8285333333333331
8,simon,6,test,15000,0.6749333333333334,0.7493879288888888,0.6605333333333333,0.6893333333333334,0.17493333333333339,0.34986666666666677,0.49877585777777766,0.0,0.34986666666666677
8,simon,7,test,15000,0.5623333333333334,0.5809477244444444,0.5488,0.5758666666666666,0.06233333333333335,0.1246666666666667,0.16189544888888885,1.0379732891069133e-52,0.1246666666666667
8,simon,8,test,15000,0.5014,0.5054789688888889,0.5457333333333333,0.4570666666666667,0.0013999999999999568,0.0027999999999999137,0.01095793777777776,0.7378046680378095,0.0027999999999999137
8,simon,9,test,15000,0.5060666666666667,0.5065967733333334,0.2608,0.7513333333333333,0.006066666666666665,0.01213333333333333,0.013193546666666833,0.13944297029273575,0.01213333333333333
8,simon,10,test,15000,0.5056,0.5084841600000001,0.4396,0.5716,0.005600000000000049,0.011200000000000099,0.016968320000000148,0.1727074115134455,0.011200000000000099
9,simon,3,test,15000,0.9996666666666667,0.9999966933333334,0.9996,0.9997333333333334,0.4996666666666667,0.9993333333333334,0.9999933866666668,0.0,0.9993333333333334
9,simon,4,test,15000,0.9949333333333333,0.9992752444444444,0.9993333333333333,0.9905333333333334,0.49493333333333334,0.9898666666666667,0.9985504888888888,0.0,0.9898666666666667
9,simon,5,test,15000,0.9182,0.9700119377777777,0.9662666666666667,0.8701333333333333,0.4182,0.8364,0.9400238755555554,0.0,0.8364
9,simon,6,test,15000,0.6838,0.7565721511111111,0.6409333333333334,0.7266666666666667,0.18379999999999996,0.3675999999999999,0.5131443022222222,0.0,0.3675999999999999
9,simon,7,test,15000,0.5585333333333333,0.5759435911111112,0.5468,0.5702666666666667,0.058533333333333326,0.11706666666666665,0.1518871822222223,1.1308594209446042e-46,0.11706666666666665
9,simon,8,test,15000,0.5023333333333333,0.5018649422222222,0.5238666666666667,0.4808,0.0023333333333332984,0.004666666666666597,0.0037298844444444423,0.5731758099060775,0.004666666666666597
9,simon,9,test,15000,0.4918,0.49473463999999995,0.5121333333333333,0.47146666666666665,-0.008199999999999985,-0.01639999999999997,-0.010530720000000104,0.04545169555189692,-0.01639999999999997
9,simon,10,test,15000,0.4961333333333333,0.4948602222222222,0.6044,0.3878666666666667,-0.003866666666666685,-0.00773333333333337,-0.010279555555555597,0.34774591609101213,-0.007733333333333259
10,simon,3,test,15000,0.9994666666666666,0.9999642577777778,0.9996,0.9993333333333333,0.4994666666666666,0.9989333333333332,0.9999285155555555,0.0,0.9989333333333335
10,simon,4,test,15000,0.992,0.9985032,0.9977333333333334,0.9862666666666666,0.492,0.984,0.9970064000000001,0.0,0.984
10,simon,5,test,15000,0.9191333333333334,0.97036432,0.9509333333333333,0.8873333333333333,0.41913333333333336,0.8382666666666667,0.9407286399999999,0.0,0.8382666666666667
10,simon,6,test,15000,0.6786,0.7535811377777778,0.6069333333333333,0.7502666666666666,0.17859999999999998,0.35719999999999996,0.5071622755555556,0.0,0.35719999999999996
10,simon,7,test,15000,0.5686,0.5885419466666666,0.5472,0.59,0.0686,0.1372,0.1770838933333332,1.6911645662875257e-63,0.1372
10,simon,8,test,15000,0.5018,0.5046093333333334,0.4084,0.5952,0.0018000000000000238,0.0036000000000000476,0.009218666666666708,0.6652027704589808,0.0036000000000000476
10,simon,9,test,15000,0.5010666666666667,0.5020734044444444,0.5134666666666666,0.4886666666666667,0.0010666666666666602,0.0021333333333333204,0.004146808888888742,0.800181184019435,0.0021333333333333204
10,simon,10,test,15000,0.5022,0.5003512355555555,0.4532,0.5512,0.0021999999999999797,0.0043999999999999595,0.0007024711111109916,0.5956123675814845,0.0043999999999999595
