seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,advantage
5,simon,6,test,15000,0.6738666666666666,0.74875232,0.654,0.6937333333333333,0.1738666666666666
5,simon,7,test,15000,0.5718,0.5920405155555555,0.4786666666666667,0.6649333333333334,0.0717999999999999
5,simon,8,test,15000,0.5022666666666666,0.5004321333333333,0.454,0.5505333333333333,0.0022666666666666
5,simon,9,test,15000,0.4987333333333333,0.4936948533333333,0.1070666666666666,0.8904,0.0012666666666666
5,simon,10,test,15000,0.5072666666666666,0.5063274311111111,0.5282666666666667,0.4862666666666667,0.0072666666666666
6,simon,3,test,15000,0.9996,0.9999993244444444,1.0,0.9992,0.4996
6,simon,4,test,15000,0.9934,0.9984730666666668,0.9986666666666668,0.9881333333333332,0.4933999999999999
6,simon,5,test,15000,0.9148,0.9691584888888888,0.9608,0.8688,0.4147999999999999
6,simon,6,test,15000,0.6782666666666667,0.7532180622222222,0.6157333333333334,0.7408,0.1782666666666666
6,simon,7,test,15000,0.5554666666666667,0.57334272,0.5776,0.5333333333333333,0.0554666666666666
6,simon,8,test,15000,0.5021333333333333,0.50279224,0.6388,0.3654666666666666,0.0021333333333333
6,simon,9,test,15000,0.5009333333333333,0.5004852177777778,0.0154666666666666,0.9864,0.0009333333333333
6,simon,10,test,15000,0.5013333333333333,0.5019201511111111,0.3633333333333333,0.6393333333333333,0.0013333333333332
7,simon,3,test,15000,0.9988,0.9999987377777778,1.0,0.9976,0.4988
7,simon,4,test,15000,0.9939333333333332,0.999180017777778,0.9993333333333332,0.9885333333333334,0.4939333333333333
7,simon,5,test,15000,0.907,0.9700383466666668,0.9134666666666666,0.9005333333333333,0.407
7,simon,6,test,15000,0.6767333333333333,0.7580622577777777,0.548,0.8054666666666667,0.1767333333333333
7,simon,7,test,15000,0.5511333333333334,0.5746789244444444,0.6724,0.4298666666666667,0.0511333333333333
7,simon,8,test,15000,0.5016666666666667,0.507588711111111,0.0478666666666666,0.9554666666666668,0.0016666666666667
7,simon,9,test,15000,0.5008,0.4960532711111111,0.8274666666666667,0.1741333333333333,0.0008
7,simon,10,test,15000,0.4957333333333333,0.5022645511111111,0.2350666666666666,0.7564,0.0042666666666666
8,simon,3,test,15000,0.9992666666666666,0.9999999822222224,1.0,0.9985333333333334,0.4992666666666666
8,simon,4,test,15000,0.9874,0.9990904355555555,0.9801333333333332,0.9946666666666668,0.4874
8,simon,5,test,15000,0.9116666666666666,0.9692329511111112,0.9270666666666668,0.8962666666666667,0.4116666666666666
8,simon,6,test,15000,0.6549333333333334,0.7440019733333334,0.782,0.5278666666666667,0.1549333333333333
8,simon,7,test,15000,0.5304,0.56792456,0.8253333333333334,0.2354666666666666,0.0303999999999999
8,simon,8,test,15000,0.5033333333333333,0.5051526755555555,0.79,0.2166666666666666,0.0033333333333332
8,simon,9,test,15000,0.5015333333333334,0.5041593511111111,0.2346666666666666,0.7684,0.0015333333333333
8,simon,10,test,15000,0.5026,0.5019203288888888,0.3854666666666667,0.6197333333333334,0.0026
9,simon,3,test,15000,0.9991333333333332,0.9999975466666668,1.0,0.9982666666666666,0.4991333333333333
9,simon,4,test,15000,0.9932666666666666,0.9985945333333334,0.9994666666666666,0.9870666666666666,0.4932666666666666
9,simon,5,test,15000,0.9160666666666668,0.9704614577777778,0.9414666666666668,0.8906666666666667,0.4160666666666667
9,simon,6,test,15000,0.6808,0.7594277599999999,0.5902666666666667,0.7713333333333333,0.1807999999999999
9,simon,7,test,15000,0.5584666666666667,0.5761324,0.5969333333333333,0.52,0.0584666666666666
9,simon,8,test,15000,0.5028666666666667,0.5053131466666667,0.2618666666666667,0.7438666666666667,0.0028666666666666
9,simon,9,test,15000,0.4932,0.4949990044444444,0.8906666666666667,0.0957333333333333,0.0067999999999999
9,simon,10,test,15000,0.4979333333333333,0.4986916355555555,0.9185333333333332,0.0773333333333333,0.0020666666666666
10,simon,3,test,15000,0.9994666666666666,1.0,1.0,0.9989333333333332,0.4994666666666666
10,simon,4,test,15000,0.9938,0.9986467288888888,0.9988,0.9888,0.4938
10,simon,5,test,15000,0.9171333333333334,0.971729217777778,0.9464,0.8878666666666667,0.4171333333333333
10,simon,6,test,15000,0.676,0.7473422311111111,0.6576,0.6944,0.176
10,simon,7,test,15000,0.5614666666666667,0.5843177866666667,0.558,0.5649333333333333,0.0614666666666666
10,simon,8,test,15000,0.5060666666666667,0.5118928,0.6368,0.3753333333333333,0.0060666666666666
10,simon,9,test,15000,0.4990666666666666,0.4962989066666666,0.3913333333333333,0.6068,0.0009333333333333
10,simon,10,test,15000,0.5016666666666667,0.4990055111111111,0.1225333333333333,0.8808,0.0016666666666667
1,simon,3,test,15000,0.9989333333333332,0.9999117422222222,1.0,0.9978666666666668,0.4989333333333333
1,simon,4,test,15000,0.9946,0.9991318133333336,0.9982666666666666,0.9909333333333332,0.4946
1,simon,5,test,15000,0.9144,0.9690716088888888,0.9637333333333332,0.8650666666666667,0.4144
1,simon,6,test,15000,0.6808666666666666,0.75080304,0.6282666666666666,0.7334666666666667,0.1808666666666666
1,simon,7,test,15000,0.5556,0.5821009777777778,0.6929333333333333,0.4182666666666667,0.0555999999999999
1,simon,8,test,15000,0.4992666666666667,0.5043607644444444,0.0778666666666666,0.9206666666666666,0.0007333333333333
1,simon,9,test,15000,0.5023333333333333,0.5056561688888889,0.1713333333333333,0.8333333333333334,0.0023333333333332
