cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,advantage
speck,3,test,750,0.7666666666666667,0.8470684444444445,0.8266666666666667,0.7066666666666667,0.2666666666666667
speck,4,test,750,0.584,0.6107306666666666,0.6346666666666667,0.5333333333333333,0.08399999999999996
speck,5,test,750,0.484,0.4665244444444445,0.192,0.776,0.016000000000000014
