seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,advantage_abs,advantage_edge,youden_j
1,simon,3,test,750,0.892,0.9841493333333333,0.9973333333333333,0.7866666666666666,0.392,0.784,0.7839999999999998
1,simon,4,test,750,0.7906666666666666,0.895928888888889,0.9253333333333333,0.656,0.29066666666666663,0.5813333333333333,0.5813333333333333
1,simon,5,test,750,0.64,0.724352,0.8106666666666666,0.4693333333333333,0.14,0.28,0.28
