cipher,rounds,max_characteristic_prob,delta_left,delta_right
speck,3,0.015600050932584387,1,0
speck,4,0.000489155197042116,1,0
speck,5,7.471845634818322e-06,1,0
speck,6,5.8908030984907653e-08,1,0
speck,7,9.200426188992613e-10,1,0
speck,8,5.7972957229188867e-11,1,0
speck,9,2.285297395790369e-13,1,0
speck,10,1.8081333592696618e-15,1,0
