cipher,rounds,split,n_seeds,seeds,n_samples_total,accuracy_mean,accuracy_std,accuracy_sem,accuracy_ci95_low,accuracy_ci95_high,accuracy_min,accuracy_max,auc_roc_mean,auc_roc_std,auc_roc_sem,auc_roc_ci95_low,auc_roc_ci95_high,auc_roc_min,auc_roc_max,tpr_mean,tpr_std,tpr_sem,tpr_ci95_low,tpr_ci95_high,tpr_min,tpr_max,tnr_mean,tnr_std,tnr_sem,tnr_ci95_low,tnr_ci95_high,tnr_min,tnr_max,advantage_abs_mean,advantage_abs_std,advantage_abs_sem,advantage_abs_ci95_low,advantage_abs_ci95_high,advantage_abs_min,advantage_abs_max,advantage_edge_mean,advantage_edge_std,advantage_edge_sem,advantage_edge_ci95_low,advantage_edge_ci95_high,advantage_edge_min,advantage_edge_max,youden_j_mean,youden_j_std,youden_j_sem,youden_j_ci95_low,youden_j_ci95_high,youden_j_min,youden_j_max
speck,3,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.9476466666666667,0.002687520312871849,0.0008498685446643382,0.9459809243191246,0.9493124090142089,0.944,0.9512666666666667,0.9856263351111112,0.0009242321169556717,0.00029226785762590494,0.9850534901101644,0.986199180112058,0.9839732444444445,0.9869012533333333,0.9422533333333334,0.012525048483186533,0.003960768101090662,0.9344902278551956,0.9500164388114711,0.9225333333333333,0.9582666666666667,0.95304,0.012345607505965748,0.0039040238817322544,0.9453881131918048,0.9606918868081952,0.9326666666666666,0.9678666666666667,0.4476466666666667,0.002687520312871849,0.0008498685446643382,0.4459809243191246,0.44931240901420877,0.44399999999999995,0.4512666666666667,0.8952933333333334,0.005375040625743698,0.0016997370893286764,0.8919618486382492,0.8986248180284175,0.8879999999999999,0.9025333333333334,0.8952933333333334,0.005375040625743692,0.0016997370893286744,0.8919618486382492,0.8986248180284175,0.8879999999999999,0.9025333333333334
speck,4,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.8482466666666667,0.003982188739938592,0.0012592786490881879,0.8457784805144538,0.8507148528188796,0.8423333333333334,0.8532,0.9118018444444443,0.002888168996557098,0.0009133192296603436,0.9100117387543101,0.9135919501345786,0.9056931733333333,0.9155941866666666,0.7849066666666668,0.02893608452528299,0.009150393366704633,0.7669718956679257,0.8028414376654078,0.7333333333333333,0.8354666666666667,0.9115866666666665,0.027108593690043238,0.008572490022460522,0.8947845862226439,0.9283887471106892,0.8528,0.9545333333333333,0.34824666666666665,0.0039821887399385915,0.0012592786490881875,0.3457784805144538,0.3507148528188795,0.3423333333333334,0.35319999999999996,0.6964933333333333,0.007964377479877183,0.002518557298176375,0.6915569610289076,0.701429705637759,0.6846666666666668,0.7063999999999999,0.6964933333333334,0.007964377479877193,0.0025185572981763784,0.6915569610289077,0.7014297056377591,0.6846666666666668,0.7063999999999999
speck,5,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.6650066666666666,0.003042164596483708,0.0009620169142015581,0.6631211135148316,0.6668922198185017,0.6606666666666666,0.6700666666666667,0.7319618755555556,0.0038011857642528332,0.00120204048244468,0.729605876209964,0.7343178749011472,0.7246468444444444,0.7374558044444444,0.6335733333333333,0.06481145455839814,0.02049518148730405,0.5934027776182174,0.6737438890484493,0.5381333333333334,0.7241333333333333,0.6964400000000001,0.0665663259695653,0.021050120553304255,0.6551817637155237,0.7376982362844764,0.6029333333333333,0.7881333333333334,0.16500666666666666,0.0030421645964837075,0.000962016914201558,0.1631211135148316,0.16689221981850172,0.16066666666666662,0.1700666666666667,0.3300133333333333,0.006084329192967415,0.001924033828403116,0.3262422270296632,0.33378443963700344,0.32133333333333325,0.3401333333333334,0.33001333333333327,0.006084329192967344,0.0019240338284030934,0.3262422270296632,0.3337844396370033,0.32133333333333325,0.3401333333333332
speck,6,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.50154,0.003260303704705073,0.0010309985570753056,0.49951924282813237,0.5035607571718675,0.4975333333333333,0.5079333333333333,0.5023945546666667,0.004414506856480957,0.0013959896412909867,0.4996584149697364,0.505130694363597,0.49537752888888886,0.5097764,0.31726666666666664,0.22798052548408604,0.07209377226917732,0.1759628730190791,0.4585704603142542,0.0032,0.7825333333333333,0.6858133333333333,0.22768674343448822,0.07200087022793715,0.5446916276865765,0.82693503898009,0.22733333333333333,0.9961333333333333,0.002566666666666673,0.002438224409607322,0.000771034258097847,0.0010554395207948927,0.004077893812538453,0.00019999999999997797,0.007933333333333348,0.005133333333333346,0.004876448819214644,0.001542068516195694,0.0021108790415897854,0.008155787625076906,0.00039999999999995595,0.015866666666666696,0.003080000000000005,0.0065206074094101155,0.0020619971141506016,-0.0009615143437351737,0.007121514343735183,-0.004933333333333234,0.015866666666666696
speck,7,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.5002266666666666,0.0033428309138391235,0.0010570959520553708,0.49815475860063807,0.5022985747326951,0.4944,0.5051333333333333,0.5010274746666668,0.0042280402995188175,0.001337023738545998,0.4984069081391166,0.5036480411942169,0.49463948444444444,0.5100145422222222,0.5300133333333333,0.30971044350298366,0.09793904166103261,0.3380528116777094,0.7219738549889573,0.14706666666666668,0.9766666666666667,0.4704400000000001,0.31041124486440824,0.09816065450997746,0.2780451171604442,0.6628348828395559,0.0228,0.8586666666666667,0.002400000000000002,0.0021980912033561268,0.0006950974707385709,0.0010376089573524028,0.003762391042647601,6.666666666665932e-05,0.005599999999999994,0.004800000000000004,0.0043961824067122535,0.0013901949414771419,0.0020752179147048057,0.007524782085295202,0.00013333333333331865,0.011199999999999988,0.0004533333333333389,0.006685661827678246,0.002114191904110741,-0.0036904827987237136,0.004597149465390391,-0.011199999999999988,0.010266666666666646
speck,8,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.5001933333333334,0.004321345240935731,0.0013665293517286005,0.49751493580394535,0.5028717308627214,0.49473333333333336,0.5073333333333333,0.5004402382222222,0.0049509254103167815,0.0015656200822204724,0.49737162286107006,0.5035088535833743,0.4942415555555556,0.5092914666666667,0.5789333333333333,0.1444090486546232,0.045666150848668347,0.48942767766994333,0.6684389889967233,0.376,0.8338666666666666,0.4214533333333333,0.14423653344505655,0.04561159674934316,0.3320546037046207,0.5108520629620459,0.17506666666666668,0.628,0.0036199999999999843,0.0020384089656178186,0.0006446015134260162,0.0023565810336849927,0.0048834189663149764,0.00039999999999995595,0.007333333333333303,0.007239999999999969,0.004076817931235637,0.0012892030268520324,0.004713162067369985,0.009766837932629953,0.0007999999999999119,0.014666666666666606,0.0003866666666666463,0.008642690481871471,0.002733058703457204,-0.004970128392109473,0.005743461725442766,-0.010533333333333283,0.014666666666666606
speck,9,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.5007,0.004395536456536417,0.001389990674096079,0.49797561827877174,0.5034243817212284,0.4922,0.5059333333333333,0.500935512,0.006010275420150262,0.001900615969260029,0.4972103047002503,0.5046607192997496,0.4905318133333333,0.5091802933333334,0.36877333333333334,0.21014079512978384,0.06645235419289355,0.238526719115262,0.49901994755140466,0.10586666666666666,0.7037333333333333,0.6326266666666666,0.21729908432706915,0.06871600399425355,0.4979432988379296,0.7673100344954036,0.28746666666666665,0.906,0.003739999999999999,0.0020792805023390664,0.0006575262281770514,0.002451248592772978,0.00502875140722702,0.001333333333333353,0.007799999999999974,0.007479999999999998,0.004158561004678133,0.0013150524563541029,0.004902497185545956,0.01005750281445404,0.002666666666666706,0.015599999999999947,0.001399999999999979,0.00879107291307281,0.0027799813481921504,-0.004048763442456636,0.006848763442456593,-0.015599999999999947,0.011866666666666692
speck,10,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.5018466666666667,0.00403124218824011,0.0012747907114599992,0.49934807687220506,0.5043452564611283,0.4945333333333333,0.5075333333333333,0.5014990426666667,0.005398235882345737,0.0017070720735061261,0.4981531814025947,0.5048449039307387,0.4895654222222222,0.5066727377777778,0.55968,0.18395700195399262,0.058172311771066174,0.44566226892871025,0.6736977310712896,0.31733333333333336,0.8464,0.44401333333333337,0.1857547721002739,0.05874081660823647,0.3288813327811899,0.5591453338854768,0.1592,0.6881333333333334,0.003899999999999998,0.0017720045146669286,0.000560357029044874,0.002801700223072045,0.004998299776927951,0.0014666666666666162,0.007533333333333281,0.007799999999999996,0.0035440090293338573,0.001120714058089748,0.00560340044614409,0.009996599553855902,0.0029333333333332323,0.015066666666666562,0.0036933333333333484,0.008062484376480276,0.002549581422920016,-0.0013038462555898822,0.00869051292225658,-0.010933333333333461,0.015066666666666784
