cipher,rounds,split,n_seeds,seeds,n_samples_total,accuracy_mean,accuracy_std,accuracy_sem,accuracy_ci95_low,accuracy_ci95_high,accuracy_min,accuracy_max,auc_roc_mean,auc_roc_std,auc_roc_sem,auc_roc_ci95_low,auc_roc_ci95_high,auc_roc_min,auc_roc_max,tpr_mean,tpr_std,tpr_sem,tpr_ci95_low,tpr_ci95_high,tpr_min,tpr_max,tnr_mean,tnr_std,tnr_sem,tnr_ci95_low,tnr_ci95_high,tnr_min,tnr_max,advantage_abs_mean,advantage_abs_std,advantage_abs_sem,advantage_abs_ci95_low,advantage_abs_ci95_high,advantage_abs_min,advantage_abs_max,advantage_edge_mean,advantage_edge_std,advantage_edge_sem,advantage_edge_ci95_low,advantage_edge_ci95_high,advantage_edge_min,advantage_edge_max,youden_j_mean,youden_j_std,youden_j_sem,youden_j_ci95_low,youden_j_ci95_high,youden_j_min,youden_j_max
simon,3,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.9989666666666667,0.0009055385138137255,0.00028635642126552196,0.9984054080809862,0.9995279252523471,0.9965333333333334,0.9996,0.9999848035555555,3.133845238282432e-05,9.910088787445586e-06,0.9999653797815321,1.0000042273295788,0.9999117422222222,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9979333333333333,0.0018110770276274844,0.0005727128425310544,0.9968108161619724,0.9990558505046943,0.9930666666666667,0.9992,0.49896666666666667,0.0009055385138137255,0.00028635642126552196,0.49840540808098627,0.49952792525234707,0.4965333333333334,0.49960000000000004,0.9979333333333333,0.001811077027627451,0.0005727128425310439,0.9968108161619725,0.9990558505046941,0.9930666666666668,0.9992000000000001,0.9979333333333333,0.0018110770276275527,0.000572712842531076,0.9968108161619724,0.9990558505046943,0.9930666666666665,0.9992000000000001
simon,4,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.9932666666666667,0.002202355641210184,0.0006964460043944771,0.9919016324980535,0.99463170083528,0.9874,0.9951333333333333,0.9989020328888889,0.0002601958295643941,8.228114591004625e-05,0.9987407618429052,0.9990633039348726,0.9984730666666667,0.9992167200000001,0.9966533333333333,0.005852997543730363,0.0018508803377558923,0.9930256078713318,1.0002810587953348,0.9801333333333333,0.9994666666666666,0.98988,0.00249241813268724,0.0007881718180795446,0.9883351832365641,0.9914248167634359,0.9865333333333334,0.9946666666666667,0.4932666666666667,0.002202355641210184,0.0006964460043944771,0.4919016324980535,0.49463170083527985,0.48740000000000006,0.4951333333333333,0.9865333333333334,0.004404711282420368,0.0013928920087889541,0.983803264996107,0.9892634016705597,0.9748000000000001,0.9902666666666666,0.9865333333333334,0.00440471128242034,0.0013928920087889454,0.983803264996107,0.9892634016705597,0.9748000000000001,0.9902666666666666
simon,5,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.9142666666666667,0.003963163719387156,0.0012532624093407826,0.9118102723443587,0.9167230609889746,0.907,0.9217333333333333,0.9700650853333335,0.0012498739855876647,0.0003952448582649487,0.9692904054111342,0.9708397652555327,0.9682065066666667,0.97192568,0.9448666666666666,0.02153196876767998,0.006809006381347767,0.9315210141592251,0.9582123191741082,0.9114666666666666,0.9753333333333334,0.8836666666666668,0.01769472265610691,0.005595562615828217,0.8726993639396435,0.8946339693936901,0.8556,0.91,0.4142666666666666,0.003963163719387156,0.0012532624093407826,0.4118102723443587,0.41672306098897455,0.40700000000000003,0.4217333333333333,0.8285333333333332,0.007926327438774312,0.0025065248186815652,0.8236205446887174,0.8334461219779491,0.8140000000000001,0.8434666666666666,0.8285333333333332,0.007926327438774293,0.002506524818681559,0.8236205446887174,0.8334461219779491,0.8140000000000001,0.8434666666666666
simon,6,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.6752533333333333,0.007456461279642951,0.002357940092852543,0.6706317707513423,0.6798748959153242,0.6549333333333334,0.6808666666666666,0.7531325200000001,0.005209542680947136,0.0016474020439652814,0.7499036119938282,0.756361428006172,0.7440019733333334,0.7594277599999999,0.66828,0.07597037629282925,0.02402394237853994,0.6211930729380617,0.7153669270619383,0.548,0.782,0.6822266666666666,0.08547795730587615,0.027030503482519865,0.6292468798409278,0.7352064534924055,0.5278666666666667,0.8054666666666667,0.17525333333333334,0.0074564612796429505,0.0023579400928525427,0.17063177075134237,0.17987489591532432,0.15493333333333337,0.18086666666666662,0.3505066666666667,0.014912922559285901,0.004715880185705085,0.34126354150268473,0.35974979183064865,0.30986666666666673,0.36173333333333324,0.35050666666666663,0.014912922559285937,0.004715880185705097,0.3412635415026846,0.35974979183064865,0.30986666666666673,0.36173333333333346
simon,7,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.5546,0.0120596460034445,0.003813594914623142,0.5471253539673386,0.5620746460326613,0.5304,0.5718,0.5792991226666666,0.008227707540436073,0.0026018295749519918,0.5741995366997608,0.5843987086335725,0.56792456,0.5920405155555555,0.61892,0.13174648982134937,0.04166189815676539,0.5372626796127399,0.7005773203872602,0.3732,0.8253333333333334,0.49028,0.15014933734843067,0.0474813895186028,0.39721647654353853,0.5833435234564615,0.23546666666666666,0.742,0.054599999999999996,0.0120596460034445,0.003813594914623142,0.047125353967338635,0.06207464603266136,0.030399999999999983,0.07179999999999997,0.10919999999999999,0.024119292006889,0.007627189829246284,0.09425070793467727,0.12414929206532271,0.060799999999999965,0.14359999999999995,0.1092,0.02411929200688903,0.0076271898292462935,0.09425070793467727,0.12414929206532274,0.060799999999999965,0.14360000000000017
simon,8,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.5020533333333332,0.0032413684048257178,0.0010250106894955982,0.5000443123819218,0.5040623542847447,0.4958,0.5070666666666667,0.5052009431111111,0.0037608486011222646,0.0011892847514604437,0.5028699449982487,0.5075319412239735,0.5003732088888889,0.5118928,0.47096,0.26974931425901694,0.08530222303270289,0.3037676428559023,0.6381523571440977,0.04786666666666667,0.79,0.5331466666666667,0.26774685815034827,0.08466899081091182,0.3671954446772795,0.6990978886560538,0.21146666666666666,0.9554666666666667,0.003039999999999993,0.0022187083329420904,0.0007016171795692198,0.001664830328044322,0.004415169671955664,6.666666666665932e-05,0.0070666666666666655,0.006079999999999986,0.004437416665884181,0.0014032343591384396,0.003329660656088644,0.008830339343911328,0.00013333333333331865,0.014133333333333331,0.00410666666666668,0.0064827368096514555,0.002050021378991203,8.862476384392283e-05,0.008124708569489438,-0.008399999999999963,0.014133333333333331
simon,9,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.4986333333333334,0.003419515524128096,0.0010813457550549244,0.49651389565342574,0.500752771013241,0.4922666666666667,0.5023333333333333,0.49738635200000003,0.0048910171612095545,0.0015466754304393137,0.494354868156339,0.5004178358436611,0.4914247199999999,0.5056561688888889,0.4860800000000001,0.3501145531055461,0.1107159429785504,0.2690767517620413,0.703083248237959,0.015466666666666667,0.9690666666666666,0.5111866666666667,0.3530262170518302,0.1116366919636756,0.29237875041786254,0.7299945829154708,0.0308,0.9864,0.0024866666666666704,0.0026263714818155013,0.0008305315864248483,0.0008588247572739679,0.004114508576059373,6.666666666665932e-05,0.007733333333333314,0.004973333333333341,0.005252742963631003,0.0016610631728496965,0.0017176495145479359,0.008229017152118746,0.00013333333333331865,0.015466666666666629,-0.0027333333333333432,0.006839031048256171,0.0021626915101098424,-0.0069722086931486345,0.0015055420264819476,-0.015466666666666629,0.004666666666666597
simon,10,test,10,1;2;3;4;5;6;7;8;9;10,150000,0.5010666666666667,0.0035057624520737755,0.0011086194284050017,0.49889377258699286,0.5032395607463405,0.49573333333333336,0.5072666666666666,0.5021853475555556,0.0028296768408090215,0.0008948223859186204,0.500431495679155,0.5039391994319561,0.4983025866666666,0.5063274311111111,0.4542933333333333,0.24383647870177058,0.07710786493327319,0.30316191806411785,0.6054247486025488,0.12253333333333333,0.9185333333333333,0.54784,0.24470257724151984,0.07738174933964855,0.3961717712942888,0.6995082287057112,0.07733333333333334,0.8808,0.003053333333333336,0.0017876945633557816,0.0005653186580904453,0.0019453087634760632,0.004161357903190608,0.0013333333333332975,0.0072666666666666435,0.006106666666666672,0.003575389126711563,0.0011306373161808906,0.0038906175269521263,0.008322715806381217,0.002666666666666595,0.014533333333333287,0.0021333333333333317,0.007011524904147586,0.0022172388568100147,-0.002212454826014297,0.00647912149268096,-0.008533333333333393,0.014533333333333287
