cipher,rounds,metric,baseline_mean,baseline_ci95_low,baseline_ci95_high,candidate_mean,candidate_ci95_low,candidate_ci95_high,mean_difference,ci95_overlap,paired_n,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,paired_difference_excludes_zero
simon,3,auc_roc,0.9999848035555555,0.9999623869347183,1.0,0.999988279111111,0.9999707156689874,1.0,3.475555555465526e-06,True,10,3.475555555565446e-06,-2.7321837730654108e-05,3.4272948841785e-05,False
simon,3,advantage_abs,0.49896666666666667,0.49831892844176406,0.4996144048915693,0.4991066666666667,0.4987371468302423,0.4994761865030911,0.000140000000000029,True,10,0.00013999999999999568,-0.00058126974223703,0.0008612697422370214,False
simon,4,auc_roc,0.9989020328888889,0.9987159129368404,0.9990881528409374,0.9994710497777778,0.9993593301600748,0.9995827693954807,0.0005690168888888847,False,10,0.0005690168888888736,0.00033135002604070725,0.00080668375173704,True
simon,4,advantage_abs,0.4932666666666667,0.49169130580472636,0.494842027528607,0.49516666666666664,0.494041939469323,0.4962913938640103,0.0018999999999999573,True,10,0.0019000000000000017,0.00019193156603399572,0.003608068433966008,True
simon,5,auc_roc,0.9700650853333335,0.9691710414639382,0.9709591292027288,0.9767112631111111,0.9758604903113798,0.9775620359108425,0.006646177777777651,False,10,0.006646177777777762,0.0050312517532913395,0.008261103802264184,True
simon,5,advantage_abs,0.4142666666666666,0.4114317870967378,0.41710154623659546,0.42366666666666675,0.4197941753869979,0.42753915794633557,0.00940000000000013,False,10,0.00940000000000003,0.0036734374252378526,0.015126562574762206,True
simon,6,auc_roc,0.7531325200000001,0.7494060965765507,0.7568589434234495,0.763087999111111,0.7612000988897293,0.7649758993324928,0.009955479111110943,False,10,0.009955479111111143,0.006863940266862227,0.013047017955360058,True
simon,6,advantage_abs,0.17525333333333334,0.1699196728433009,0.1805869938233658,0.18005999999999997,0.1715773022867486,0.18854269771325133,0.004806666666666626,True,10,0.00480666666666667,-0.006216584116783928,0.01582991745011727,False
simon,7,auc_roc,0.5792991226666666,0.5734137841681252,0.5851844611652081,0.5796580675555555,0.5724077552488878,0.5869083798622232,0.0003589448888888791,True,10,0.0003589448888889013,-0.009089017299003637,0.00980690707678144,False
simon,7,advantage_abs,0.054599999999999996,0.04597364830312245,0.06322635169687754,0.05092666666666666,0.04380579585398901,0.05804753747934431,-0.003673333333333334,True,10,-0.0036733333333333284,-0.012725477987757614,0.005378811321090957,False
simon,8,auc_roc,0.5052009431111111,0.5025107810033076,0.5078911052189146,0.5169449706666668,0.5136303105317498,0.5202596308015838,0.011744027555555703,False,10,0.011744027555555559,0.007164967463303648,0.01632308764780747,True
simon,8,advantage_abs,0.003039999999999993,0.0014529419398144176,0.004627058060185568,0.010573333333333323,0.009075892792439932,0.012070773874226715,0.007533333333333331,False,10,0.007533333333333331,0.005165351813885926,0.009901314852780736,True
simon,9,auc_roc,0.49738635200000003,0.49388777217634633,0.5008849318236538,0.4997604275555555,0.49505620530650146,0.5044646498046095,0.002374075555555466,True,10,0.0023740755555555714,-0.0037908880588644607,0.008539039169975603,False
