seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,advantage_abs,advantage_edge,youden_j
1,speck,3,test,750,0.7706666666666667,0.8680746666666668,0.872,0.6693333333333333,0.2706666666666667,0.5413333333333334,0.5413333333333332
1,speck,4,test,750,0.5653333333333334,0.6189297777777777,0.5813333333333334,0.5493333333333333,0.06533333333333335,0.1306666666666667,0.1306666666666667
1,speck,5,test,750,0.496,0.4987271111111111,0.528,0.464,0.0040000000000000036,0.008000000000000007,-0.008000000000000007
